names,years,num_trips
Broadway & W 58 St,2016,42241
Broadway & W 60 St,2013,34385
Broadway & W 60 St,2014,56115
Broadway & W 60 St,2015,63291
Broadway & W 60 St,2016,46229
Broadway & Whipple St,2015,1299
Broadway & Whipple St,2016,3380
Brooklyn Bridge Park - Pier 2,2015,3327
Brooklyn Bridge Park - Pier 2,2016,7508
Bus Slip & State St,2014,13050
Bus Slip & State St,2015,20696
Bus Slip & State St,2016,18474
Bushwick Ave & Powers St,2015,2299
Bushwick Ave & Powers St,2016,4759
Butler St & Court St,2016,954
Cadman Plaza E & Red Cross Pl,2013,840
Cadman Plaza E & Red Cross Pl,2014,5968
Cadman Plaza E & Red Cross Pl,2015,10481
Cadman Plaza E & Red Cross Pl,2016,11037
Cadman Plaza E & Tillary St,2013,5569
Cadman Plaza E & Tillary St,2014,8193
Cadman Plaza E & Tillary St,2015,8878
Cadman Plaza E & Tillary St,2016,10349
Cadman Plaza W & Pierrepont St,2015,4434
Cadman Plaza W & Pierrepont St,2016,3182
Cadman Plaza West & Montague St,2014,8576
Cadman Plaza West & Montague St,2015,13632
Cadman Plaza West & Montague St,2016,2198
Cambridge Pl & Gates Ave,2015,1224
Cambridge Pl & Gates Ave,2016,2875
Canal St & Rutgers St,2013,16565
Canal St & Rutgers St,2014,30332
Canal St & Rutgers St,2015,34814
Canal St & Rutgers St,2016,31042
Carlton Ave & Flushing Ave,2015,4217
Carlton Ave & Flushing Ave,2016,6852
Carlton Ave & Park Ave,2013,3592
Carlton Ave & Park Ave,2014,2988
Carlton Ave & Park Ave,2015,4603
Carlton Ave & Park Ave,2016,4924
Carmine St & 6 Ave,2013,30913
Carmine St & 6 Ave,2014,52596
Carmine St & 6 Ave,2015,65614
Carmine St & 6 Ave,2016,60825
Carroll St & 5 Ave,2016,1138
Carroll St & 6 Ave,2016,1409
Carroll St & Bond St,2016,721
Carroll St & Columbia St,2016,921
Carroll St & Smith St,2016,1401
Cathedral Pkwy & Broadway,2016,3917
Catherine St & Monroe St,2013,6188
Catherine St & Monroe St,2014,13610
Catherine St & Monroe St,2015,14206
Catherine St & Monroe St,2016,13684
Center Blvd & Borden Ave,2015,169
Center Blvd & Borden Ave,2016,3751
Center Blvd & Borden Ave,2015,1811
Central Park North & Adam Clayton Powell Blvd,2016,4808
Central Park S & 6 Ave,2013,23685
